SSID,BSSID,LEVEL
HiSmart-01-ca2c4f959ce7,ca:2c:4f:95:9c:e7,-74
PROMENADY_IIVD,80:2a:a8:be:2e:ac,-75
BOMBAJ,d4:f8:29:87:68:50,-79
Internet_Domowy_391990,34:ba:9a:39:19:90,-80
Orange_Swiatlowod_8700,e8:d2:ff:5d:87:00,-83
korbank2.4,e4:be:ed:dc:85:10,-83
UPC6310644,34:2c:c4:5a:8a:03,-83
Internet UPC,34:2c:c4:d8:77:a3,-84
Orange_Swiatlowod_3EC0,e8:d2:ff:f0:3e:c0,-85
korbank5g,e4:be:ed:dc:85:15,-86
UPC8021556,34:2c:c4:c4:3d:a1,-86
bestnet2-wko-airmax.pl-717170530,18:e8:29:36:99:20,-87
TP-Link_731B,60:32:b1:16:73:1b,-87
,2a:8d:cb:c3:ba:f7,-89
,32:8d:cb:c3:ba:f7,-89
Orange_Swiatlowod_6D00,d4:f8:29:88:6d:05,-90
bestnet3-wf-airmax.pl-717170530,80:2a:a8:7e:a6:b4,-90
VKM-2G,b8:69:f4:67:b1:c1,-90
PizzaHut Hotspot,0e:8d:cb:c3:ba:f7,-90
bestnet6-wko-airmax.pl-717170530,80:2a:a8:3a:e1:22,-91
AJ_2022,78:98:e8:58:d5:b2,-91
Landernet,ac:84:c9:1e:d9:57,-92
bestnet4-wf-airmax.pl-717170530,80:2a:a8:7c:bc:1d,-92
DIRECT-7F-HP DeskJet 3630 series,b0:5a:da:78:71:80,-94
Asus_Guest,dc:73:85:60:37:a3,-95
ASUS,dc:73:85:60:37:9f,-95
