SSID,BSSID,LEVEL
Orange_Swiatlowod_0E88,3c:17:10:50:0e:8d,-33
Orange_Swiatlowod_0E88,3c:17:10:50:0e:88,-45
UPC1861020,44:32:c8:a3:e6:d1,-49
Wi-Free #InternetUPCNajszybszy,46:32:c8:a3:e6:d3,-56
NETIASPOT-2,4GHz-690E10,8c:59:c3:69:0e:14,-65
NETIASPOT-5GHz-690E10,8c:59:c3:69:0e:18,-67
UPC5900900,34:2c:c4:c6:9b:3c,-68
Wi-Free #InternetUPCNajszybszy,36:2c:94:c6:9b:3c,-69
HUAWEI-B311-8EEE,00:bb:1c:4c:8e:ee,-73
cyberiada,92:5c:44:cb:fd:3a,-74
not_to_force5,90:5c:44:cb:fe:37,-74
NETIASPOT-5GHz-71E7A8,8c:59:c3:71:e7:b0,-82
FunBox3-99E8,3c:17:10:64:99:ed,-84
UPCA355EEF,ac:22:05:a7:ec:f5,-90
Parnas_202,7c:8b:ca:2d:fe:36,-91
WLAN1-5G-L1BA2G,b4:86:55:87:c9:e4,-92
